,mu,omega,alpha[1],gamma[1],beta[1]
2023-04-27,0.05347213698362645,0.043312454071875506,0.08921092511079937,0.19250330058428114,0.7956050592426988
2023-04-28,0.052349720935970775,0.043212194713644105,0.08857880815090027,0.1918884216074249,0.7964513922620581
2023-05-01,0.05226523988433678,0.04313395163258212,0.0880498205547469,0.19189671395448027,0.7967802385467203
2023-05-02,0.05301329906098361,0.04331256009450442,0.08827051631685645,0.19250897725368013,0.7964106625098252
2023-05-03,0.05225408214688179,0.043268116027801604,0.08811640001219918,0.1925150994539866,0.7965440529148182
2023-05-04,0.053423992635829226,0.043268048749147574,0.08787048333729391,0.19136424000699684,0.7970377183512483
2023-05-05,0.05474809799797504,0.04341649270004524,0.08891295151417154,0.1932254685564838,0.795598548040471
2023-05-08,0.05352771158633086,0.043307524065295096,0.088376301567018,0.19122713037904132,0.7968283877998258
2023-05-09,0.0524889764386656,0.04332537368386071,0.08790209403112845,0.19195704570210728,0.7968990392194958
2023-05-10,0.05249486725881085,0.04337793572807728,0.08796832009282304,0.19253619966596391,0.7964744621974708
2023-05-11,0.050986570062854605,0.043340812047854324,0.08760118692987261,0.1924059827902651,0.7968542738875302
2023-05-12,0.049111974803755676,0.04338729165944562,0.08789024342269786,0.19206933811748053,0.7967879910083984
2023-05-15,0.04912167683816416,0.0435868498098594,0.08818535071761345,0.19277531941579237,0.7960140571448925
2023-05-16,0.0484203570925179,0.04372376274629959,0.08819514950428274,0.1933514871815651,0.7957326890071382
2023-05-17,0.05133033208264874,0.04397030142740536,0.08841076017932374,0.19412596616631111,0.7950948236326408
2023-05-18,0.051486491927804,0.044069491151715726,0.08853185747672053,0.1937434324370288,0.7950689063521769
2023-05-19,0.05148607055482427,0.04406671162009063,0.08812030746336746,0.19431625648132084,0.7950635527619968
2023-05-22,0.051880648027725934,0.04406609646938668,0.08804253718317409,0.19504078509895326,0.7947214424653143
2023-05-23,0.049416787808066104,0.04422677953530503,0.08761864336130346,0.19395115906934204,0.7957333804729398
2023-05-24,0.04940666195146396,0.04424511923018546,0.08761607707711828,0.19386871465147987,0.7957401338970412
2023-05-25,0.049669981205031334,0.044192020919262456,0.08788586114071804,0.1935513513982748,0.7956354630137489
